Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
2250,2016,04,19,04/19/2016,09:15 PM,Diamondbacks,NL,Giants,NL
1563,2016,04,19,04/19/2016,12:10 PM,Brewers,NL,Twins,AL
1232,2016,04,20,04/20/2016,01:10 PM,Angels,AL,White Sox,AL
1334,2016,04,20,04/20/2016,05:10 PM,Mariners,AL,Indians,AL
14,2016,04,20,04/20/2016,06:05 PM,Blue Jays,AL,Orioles,AL
927,2016,04,20,04/20/2016,06:05 PM,Mets,NL,Phillies,NL
318,2016,04,20,04/20/2016,06:05 PM,Athletics,AL,Yankees,AL
633,2016,04,20,04/20/2016,06:10 PM,Dodgers,NL,Braves,NL
788,2016,04,20,04/20/2016,06:10 PM,Nationals,NL,Marlins,NL
173,2016,04,20,04/20/2016,06:10 PM,Rays,AL,Red Sox,AL
1436,2016,04,20,04/20/2016,06:15 PM,Tigers,AL,Royals,AL
2031,2016,04,20,04/20/2016,07:05 PM,Astros,AL,Rangers,AL
1564,2016,04,20,04/20/2016,07:10 PM,Twins,AL,Brewers,NL
1917,2016,04,20,04/20/2016,09:10 PM,Pirates,NL,Padres,NL
2251,2016,04,20,04/20/2016,09:15 PM,Diamondbacks,NL,Giants,NL
1728,2016,04,20,04/20/2016,11:35 AM,Rockies,NL,Reds,NL
1609,2016,04,20,04/20/2016,12:45 PM,Cubs,NL,Cardinals,NL
1233,2016,04,21,04/21/2016,01:10 PM,Angels,AL,White Sox,AL
2252,2016,04,21,04/21/2016,02:45 PM,Diamondbacks,NL,Giants,NL
15,2016,04,21,04/21/2016,06:05 PM,Blue Jays,AL,Orioles,AL
319,2016,04,21,04/21/2016,06:05 PM,Athletics,AL,Yankees,AL
1610,2016,04,21,04/21/2016,06:10 PM,Cubs,NL,Reds,NL
1437,2016,04,21,04/21/2016,06:15 PM,Tigers,AL,Royals,AL
2032,2016,04,21,04/21/2016,07:05 PM,Astros,AL,Rangers,AL
1918,2016,04,21,04/21/2016,08:10 PM,Pirates,NL,Padres,NL
634,2016,04,21,04/21/2016,11:10 AM,Dodgers,NL,Braves,NL
1335,2016,04,21,04/21/2016,11:10 AM,Mariners,AL,Indians,AL
789,2016,04,21,04/21/2016,12:10 PM,Nationals,NL,Marlins,NL
174,2016,04,21,04/21/2016,12:35 PM,Rays,AL,Red Sox,AL
1565,2016,04,21,04/21/2016,12:40 PM,Twins,AL,Brewers,NL
1138,2016,04,22,04/22/2016,06:05 PM,Twins,AL,Nationals,NL
320,2016,04,22,04/22/2016,06:05 PM,Rays,AL,Yankees,AL
534,2016,04,22,04/22/2016,06:07 PM,Athletics,AL,Blue Jays,AL
1611,2016,04,22,04/22/2016,06:10 PM,Cubs,NL,Reds,NL
1336,2016,04,22,04/22/2016,06:10 PM,Indians,AL,Tigers,AL
635,2016,04,22,04/22/2016,06:35 PM,Mets,NL,Braves,NL
175,2016,04,22,04/22/2016,07:10 PM,Red Sox,AL,Astros,AL
1047,2016,04,22,04/22/2016,07:10 PM,Phillies,NL,Brewers,NL
1234,2016,04,22,04/22/2016,07:10 PM,Rangers,AL,White Sox,AL
16,2016,04,22,04/22/2016,07:15 PM,Orioles,AL,Royals,AL
2322,2016,04,22,04/22/2016,07:40 PM,Dodgers,NL,Rockies,NL
1919,2016,04,22,04/22/2016,08:40 PM,Pirates,NL,Diamondbacks,NL
2117,2016,04,22,04/22/2016,09:05 PM,Mariners,AL,Angels,AL
790,2016,04,22,04/22/2016,09:15 PM,Marlins,NL,Giants,NL
1981,2016,04,22,04/22/2016,09:40 PM,Cardinals,NL,Padres,NL
1235,2016,04,23,04/23/2016,01:10 PM,Rangers,AL,White Sox,AL
176,2016,04,23,04/23/2016,03:05 PM,Red Sox,AL,Astros,AL
636,2016,04,23,04/23/2016,06:10 PM,Mets,NL,Braves,NL
1048,2016,04,23,04/23/2016,06:10 PM,Phillies,NL,Brewers,NL
1612,2016,04,23,04/23/2016,06:10 PM,Cubs,NL,Reds,NL
17,2016,04,23,04/23/2016,06:15 PM,Orioles,AL,Royals,AL
1920,2016,04,23,04/23/2016,07:10 PM,Pirates,NL,Diamondbacks,NL
2323,2016,04,23,04/23/2016,07:10 PM,Dodgers,NL,Rockies,NL
1982,2016,04,23,04/23/2016,07:40 PM,Cardinals,NL,Padres,NL
2118,2016,04,23,04/23/2016,08:05 PM,Mariners,AL,Angels,AL
