Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
157,2016,04,16,04/16/2016,01:10 PM,Angels,AL,Twins,AL
158,2016,04,16,04/16/2016,01:15 PM,Reds,NL,Cardinals,NL
159,2016,04,16,04/16/2016,01:20 PM,Rockies,NL,Cubs,NL
160,2016,04,16,04/16/2016,03:05 PM,Royals,AL,Athletics,AL
161,2016,04,16,04/16/2016,03:05 PM,Blue Jays,AL,Red Sox,AL
162,2016,04,16,04/16/2016,03:10 PM,Mets,NL,Indians,AL
163,2016,04,16,04/16/2016,05:10 PM,White Sox,AL,Rays,AL
164,2016,04,16,04/16/2016,06:05 PM,Nationals,NL,Phillies,NL
165,2016,04,16,04/16/2016,06:05 PM,Brewers,NL,Pirates,NL
166,2016,04,16,04/16/2016,06:10 PM,Tigers,AL,Astros,AL
167,2016,04,16,04/16/2016,06:10 PM,Braves,NL,Marlins,NL
168,2016,04,16,04/16/2016,07:05 PM,Orioles,AL,Rangers,AL
169,2016,04,16,04/16/2016,07:40 PM,Diamondbacks,NL,Padres,NL
170,2016,04,16,04/16/2016,08:10 PM,Giants,NL,Dodgers,NL
171,2016,04,16,04/16/2016,12:05 PM,Mariners,AL,Yankees,AL
172,2016,04,17,04/17/2016,01:10 PM,Tigers,AL,Astros,AL
173,2016,04,17,04/17/2016,01:10 PM,Angels,AL,Twins,AL
174,2016,04,17,04/17/2016,01:15 PM,Reds,NL,Cardinals,NL
175,2016,04,17,04/17/2016,01:20 PM,Rockies,NL,Cubs,NL
176,2016,04,17,04/17/2016,02:05 PM,Orioles,AL,Rangers,AL
177,2016,04,17,04/17/2016,03:05 PM,Royals,AL,Athletics,AL
178,2016,04,17,04/17/2016,03:40 PM,Diamondbacks,NL,Padres,NL
179,2016,04,17,04/17/2016,07:05 PM,Giants,NL,Dodgers,NL
180,2016,04,17,04/17/2016,12:05 PM,Mariners,AL,Yankees,AL
181,2016,04,17,04/17/2016,12:10 PM,Mets,NL,Indians,AL
182,2016,04,17,04/17/2016,12:10 PM,Braves,NL,Marlins,NL
183,2016,04,17,04/17/2016,12:10 PM,White Sox,AL,Rays,AL
184,2016,04,17,04/17/2016,12:35 PM,Nationals,NL,Phillies,NL
185,2016,04,17,04/17/2016,12:35 PM,Brewers,NL,Pirates,NL
186,2016,04,17,04/17/2016,12:35 PM,Blue Jays,AL,Red Sox,AL
187,2016,04,18,04/18/2016,06:05 PM,Mets,NL,Phillies,NL
188,2016,04,18,04/18/2016,06:10 PM,Nationals,NL,Marlins,NL
189,2016,04,18,04/18/2016,06:10 PM,Rockies,NL,Reds,NL
190,2016,04,18,04/18/2016,07:10 PM,Brewers,NL,Twins,AL
191,2016,04,18,04/18/2016,07:10 PM,Angels,AL,White Sox,AL
192,2016,04,18,04/18/2016,07:15 PM,Cubs,NL,Cardinals,NL
193,2016,04,18,04/18/2016,09:15 PM,Diamondbacks,NL,Giants,NL
194,2016,04,18,04/18/2016,10:05 AM,Blue Jays,AL,Red Sox,AL
195,2016,04,19,04/19/2016,05:10 PM,Mariners,AL,Indians,AL
196,2016,04,19,04/19/2016,06:05 PM,Blue Jays,AL,Orioles,AL
197,2016,04,19,04/19/2016,06:05 PM,Mets,NL,Phillies,NL
198,2016,04,19,04/19/2016,06:05 PM,Athletics,AL,Yankees,AL
199,2016,04,19,04/19/2016,06:10 PM,Dodgers,NL,Braves,NL
200,2016,04,19,04/19/2016,06:10 PM,Nationals,NL,Marlins,NL
201,2016,04,19,04/19/2016,06:10 PM,Rays,AL,Red Sox,AL
202,2016,04,19,04/19/2016,06:10 PM,Rockies,NL,Reds,NL
203,2016,04,19,04/19/2016,06:15 PM,Tigers,AL,Royals,AL
204,2016,04,19,04/19/2016,07:05 PM,Astros,AL,Rangers,AL
205,2016,04,19,04/19/2016,07:10 PM,Angels,AL,White Sox,AL
206,2016,04,19,04/19/2016,07:15 PM,Cubs,NL,Cardinals,NL
207,2016,04,19,04/19/2016,09:10 PM,Pirates,NL,Padres,NL
208,2016,04,19,04/19/2016,09:15 PM,Diamondbacks,NL,Giants,NL
209,2016,04,19,04/19/2016,12:10 PM,Brewers,NL,Twins,AL
210,2016,04,20,04/20/2016,01:10 PM,Angels,AL,White Sox,AL
211,2016,04,20,04/20/2016,05:10 PM,Mariners,AL,Indians,AL
212,2016,04,20,04/20/2016,06:05 PM,Blue Jays,AL,Orioles,AL
213,2016,04,20,04/20/2016,06:05 PM,Mets,NL,Phillies,NL
214,2016,04,20,04/20/2016,06:05 PM,Athletics,AL,Yankees,AL
215,2016,04,20,04/20/2016,06:10 PM,Dodgers,NL,Braves,NL
216,2016,04,20,04/20/2016,06:10 PM,Nationals,NL,Marlins,NL
217,2016,04,20,04/20/2016,06:10 PM,Rays,AL,Red Sox,AL
218,2016,04,20,04/20/2016,06:15 PM,Tigers,AL,Royals,AL
219,2016,04,20,04/20/2016,07:05 PM,Astros,AL,Rangers,AL
220,2016,04,20,04/20/2016,07:10 PM,Twins,AL,Brewers,NL
221,2016,04,20,04/20/2016,09:10 PM,Pirates,NL,Padres,NL
222,2016,04,20,04/20/2016,09:15 PM,Diamondbacks,NL,Giants,NL
223,2016,04,20,04/20/2016,11:35 AM,Rockies,NL,Reds,NL
224,2016,04,20,04/20/2016,12:45 PM,Cubs,NL,Cardinals,NL
225,2016,04,21,04/21/2016,01:10 PM,Angels,AL,White Sox,AL
226,2016,04,21,04/21/2016,02:45 PM,Diamondbacks,NL,Giants,NL
227,2016,04,21,04/21/2016,06:05 PM,Blue Jays,AL,Orioles,AL
228,2016,04,21,04/21/2016,06:05 PM,Athletics,AL,Yankees,AL
229,2016,04,21,04/21/2016,06:10 PM,Cubs,NL,Reds,NL
230,2016,04,21,04/21/2016,06:15 PM,Tigers,AL,Royals,AL
231,2016,04,21,04/21/2016,07:05 PM,Astros,AL,Rangers,AL
232,2016,04,21,04/21/2016,08:10 PM,Pirates,NL,Padres,NL
233,2016,04,21,04/21/2016,11:10 AM,Dodgers,NL,Braves,NL
234,2016,04,21,04/21/2016,11:10 AM,Mariners,AL,Indians,AL
235,2016,04,21,04/21/2016,12:10 PM,Nationals,NL,Marlins,NL
236,2016,04,21,04/21/2016,12:35 PM,Rays,AL,Red Sox,AL
237,2016,04,21,04/21/2016,12:40 PM,Twins,AL,Brewers,NL
238,2016,04,22,04/22/2016,06:05 PM,Twins,AL,Nationals,NL
239,2016,04,22,04/22/2016,06:05 PM,Rays,AL,Yankees,AL
240,2016,04,22,04/22/2016,06:07 PM,Athletics,AL,Blue Jays,AL
241,2016,04,22,04/22/2016,06:10 PM,Cubs,NL,Reds,NL
242,2016,04,22,04/22/2016,06:10 PM,Indians,AL,Tigers,AL
243,2016,04,22,04/22/2016,06:35 PM,Mets,NL,Braves,NL
244,2016,04,22,04/22/2016,07:10 PM,Red Sox,AL,Astros,AL
245,2016,04,22,04/22/2016,07:10 PM,Phillies,NL,Brewers,NL
246,2016,04,22,04/22/2016,07:10 PM,Rangers,AL,White Sox,AL
