playername|playerid
Carl Pavano|790.0
Mark Rogers|4083.0
Rubby de la Rosa|3862.0
Ted Lilly|833.0
Mickey Storey|4721.0
Phil Coke|5535.0
Blaine Boyer|2237.0
Buddy Carlyle|2010.0
Brad Brach|6627.0
Ryan Pressly|7005.0
Samuel Deduno|5285.0
Erik Goeddel|11712.0
Christian Bergman|10925.0
Vin Mazzaro|5231.0
Steven Matz|13361.0
Tony Zych|12876.0
Kendall Graveman|15514.0
Luis Perez|6389.0
Freddy Garcia|1077.0
Carlos Frias|3547.0
Marc Rzepczynski|6612.0
Jon Rauch|1475.0
Josh Outman|4004.0
Colin Rea|12317.0
Javy Guerra|7407.0
Zachary Davies|13183.0
Carlos Zambrano|305.0
Francisley Bueno|5980.0
Tim Cooney|13762.0
John Lannan|7080.0
Steve Johnson|4053.0
Blake Parker|5224.0
Ben Sheets|710.0
Matt Albers|4300.0
Jean Machi|3220.0
Drake Britton|2868.0
Clay Rapada|4831.0
Ariel Pena|10240.0
Justin Germano|1938.0
Tyler Wilson|12691.0
Fernando Abad|4994.0
Jordan Norberto|8432.0
Jeremy Horst|596.0
Enrique Burgos|3895.0
Matt Andriese|12022.0
Ian Thomas|13881.0
Bruce Rondon|5766.0
Elvis Araujo|12854.0
Yoervis Medina|10498.0
Raul Valdes|1953.0
Cody Eppley|9095.0
Roberto Hernandez|3273.0
Kyle Crockett|15033.0
Andrew Werner|11783.0
Enny Romero|4001.0
Adam Morgan|12580.0
Keyvius Sampson|10039.0
Brandon League|3731.0
Chris Seddon|3833.0
Daniel Norris|13475.0
Dominic Leone|13763.0
Scott Carroll|888.0
Nick Hagadone|1351.0
George Kontos|9486.0
Alex Burnett|4065.0
Brad Hand|9111.0
Eric O'Flaherty|5746.0
Darin Downs|5903.0
Franklin Morales|5088.0
Erik Davis|8422.0
Michael Blazek|9654.0
Daisuke Matsuzaka|7775.0
Ross Ohlendorf|8268.0
Rafael Montero|12760.0
Cory Rasmus|2413.0
Corey Knebel|15010.0
Jairo Diaz|12774.0
Vicente Padilla|964.0
Tyler Cloyd|8536.0
Aaron Thompson|999.0
Matt Grace|11449.0
Santiago Casilla|2873.0
Scott Copeland|10706.0
Robert Coello|1149.0
Michael Montgomery|4869.0
Evan Marshall|12297.0
Dalier Hinojosa|15671.0
Hansel Robles|11801.0
Daniel Corcino|9266.0
Preston Claiborne|10500.0
Vic Black|9195.0
Bobby LaFromboise|7758.0
Esmerling Vasquez|5280.0
Felipe Paulino|3777.0
Jorge Lopez|14527.0
Jon Garland|232.0
Stephen Fife|8077.0
Frank Herrmann|7960.0
Adam Liberatore|10637.0
Zeke Spruill|3873.0
John Holdzkom|9392.0
Ryan Weber|10160.0
Dallas Beeler|11471.0
Blake Beavan|338.0
Tim Stauffer|6432.0
Donnie Veal|4741.0
Severino Gonzalez|14697.0
Cory Gearrin|7947.0
Kendry Flores|12118.0
Jeff Manship|6865.0
Michael Schwimer|8103.0
Jose Alvarez|5358.0
Francelis Montas|14309.0
Buddy Boshers|8490.0
Miguel Socolovich|6697.0
Brooks Brown|5679.0
Jeanmar Gomez|9033.0
Duane Below|3124.0
Frank Francisco|1933.0
Yhonathan Barrios|11166.0
Tyler Cravy|10770.0
Brad Peacock|5401.0
Chris Withrow|7161.0
Cesar Jimenez|3762.0
Edward Mujica|3970.0
Chris Carpenter|1292.0
Brandon Finnegan|16208.0
